id,HomeTeam,AwayTeam,Unnamed: 0,HTP,ATP,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W,HTGD,ATGD,DiffFormPts
88,Middlesbrough,Newcastle,88,-0.184670543,0.416096845,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.334388011,0.139376535,-0.111111111
89,Bradford,Ipswich,89,-1.023011548,-0.00868995,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1.267693763,0.139376535,-0.555555556
90,Charlton,Middlesbrough,90,-0.017002341,-0.433476746,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,-0.130215703,-0.020983199,0.3
91,Chelsea,Coventry,91,-0.394255794,-0.242322687,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.013971657,-0.742602002,0
92,Liverpool,Leicester,92,0.548877838,0.713447603,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.446533736,0.267664322,0
93,Man United,Leeds,93,1.114758017,0.331139487,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2.176782052,0.123340562,0.3
94,Newcastle,Everton,94,0.737504564,-0.624630804,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.446533736,-0.598278242,0.2
95,Tottenham,Derby,95,-0.205629067,-1.389247036,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.130215703,-1.319897045,0.2
96,West Ham,Arsenal,96,-0.771509246,1.095755719,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.130215703,0.844959365,-0.5
97,Aston Villa,Sunderland,97,0.171624385,-0.051168629,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.446533736,-0.453954481,0
98,Southampton,Man City,98,-0.394255794,-0.242322687,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,-0.130215703,-0.30963072,0.2
99,Arsenal,Man City,99,1.114758017,-0.242322687,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.879095815,-0.30963072,0.6
100,Aston Villa,Charlton,100,0.463138418,0.261628921,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.538289329,-0.020983199,-0.181818182
101,Chelsea,Tottenham,101,-0.051298109,0.087852504,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.669368747,0.11022022,0.272727273
102,Ipswich,Middlesbrough,102,0.291659575,-0.607253162,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.407209911,-0.152186618,0.545454545
103,Leicester,Derby,103,0.463138418,-1.476135243,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.145051075,-1.464220806,0.363636364
104,Man United,Southampton,104,1.320532627,-0.607253162,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.373401179,-0.414593456,0.272727273
105,Sunderland,Coventry,105,-0.051298109,-0.433476746,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,-0.379266598,-1.333017387,0.454545455
106,West Ham,Newcastle,106,-0.908692321,0.435405337,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.24818718,0.241423639,0
107,Bradford,Leeds,107,-1.251650005,0.261628921,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.558981359,0.11022022,-0.636363636
108,Liverpool,Everton,108,0.8060961,-0.259700329,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.538289329,-0.414593456,0.272727273
109,Charlton,Bradford,109,0.291659575,-1.302358828,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.013971657,-1.595424225,0.818181818
110,Coventry,Man United,110,-0.551444732,1.478063835,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1.307745808,2.745222215,-0.5
111,Leeds,Liverpool,111,0.548877838,1.00017869,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.254283923,0.700635604,0
112,Man City,Leicester,112,-0.079877916,0.681588593,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,-0.586809009,0.219556403,0.166666667
113,Middlesbrough,Arsenal,113,-0.708633672,1.478063835,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.22634061,1.422254408,-0.75
114,Newcastle,Ipswich,114,0.23449996,0.522293545,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0.134127789,0.460096003,-0.416666667
115,Southampton,Chelsea,115,-0.708633672,0.203703447,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.947277409,0.941175206,-0.5
116,Tottenham,Sunderland,116,-0.079877916,0.203703447,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.22634061,-0.261522801,-0.416666667
117,Everton,Aston Villa,117,-0.394255794,0.681588593,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-0.586809009,0.580365804,-0.416666667
118,Derby,West Ham,118,-1.494578363,-0.592771793,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-1.427901941,-0.141252999,-0.583333333
119,Arsenal,Derby,119,1.492011469,-1.548542084,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1.455845254,-1.464220806,1
120,Aston Villa,Tottenham,120,0.911621542,0.154689588,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0.790365131,-0.132001477,0.307692308
121,Bradford,Everton,121,-1.264840685,-0.580518329,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.538815294,-0.687092864,-0.153846154
122,Ipswich,Charlton,122,0.331231616,0.301731171,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0.346711718,0.090035079,0.230769231
123,Leicester,Newcastle,123,0.911621542,0.448772754,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.346711718,0.201053356,-0.153846154
124,Man United,Middlesbrough,124,1.637108951,-0.874601495,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2.675892143,-0.354038032,0.692307692
125,Sunderland,Southampton,125,0.041036652,-0.433476746,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.318768405,-0.798111141,0.307692308
126,West Ham,Man City,126,-0.539353276,-0.286435162,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.096941697,-0.687092864,0
127,Chelsea,Leeds,127,0.041036652,0.448772754,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.790365131,0.201053356,0.076923077
128,Liverpool,Coventry,128,0.76652406,-0.727559912,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.568538425,-1.353202528,0.384615385
129,Charlton,Chelsea,129,0.331231616,0.007648004,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0.12488501,0.756144743,-0.153846154
130,Derby,Bradford,130,-1.337389425,-1.389247036,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-1.221919998,-1.567309206,0.071428571
131,Everton,Arsenal,131,-0.259522419,1.478063835,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.500983199,1.319166008,-0.428571429
132,Leeds,West Ham,132,0.279411086,-0.296938133,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.116962627,0.185193602,-0.214285714
133,Man City,Man United,133,-0.394255794,1.751141061,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.912947085,2.556226814,-0.642857143
134,Middlesbrough,Leicester,134,-0.933189298,0.795370771,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.397992229,0.288282002,-0.5
135,Newcastle,Sunderland,135,0.414144463,-0.023860907,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.219953599,-0.3302484,-0.071428571
